Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Rock and Awe","Tim Wynn","Command & Conquer: Red Alert 3 (Original Soundtrack)","Favoritas","Playlist","CAN110900211","46zg6gMId55fmUVqbTwg8c"
"Hell March 1","From First To Last","Command & Conquer: Red Alert 3 (Original Soundtrack)","Favoritas","Playlist","CAN110900201","0mzLb3leuRs3ir9wFLJsyK"
"Blinding Lights","The Weeknd","After Hours","Favoritas","Playlist","USUG11904206","0VjIjW4GlUZAMYd2vXMi3b"
"Control - Juno Reactor Instrumental","Traci Lords","Control","Favoritas","Playlist","GBAAP9500470","1tBjefTStz0QuIKnX2U6NK"
"Semi-Automatic","Twenty One Pilots","Vessel","Favoritas","Playlist","USAT21203516","70Cp0ukCMyWeJML77NGERU"
"Heads Will Roll - A-Trak Remix Radio Edit","Yeah Yeah Yeahs","Party Bangers 2020","Favoritas","Playlist","USUM70906805","4HTwtT08PGNr6GrikqP9w9"
"The Legend of Mother Swan","The HU","The Gereg","Favoritas","Playlist","USDPK1900011","0q8qLv0DTVWKkOS0R510Pg"
"The Great Chinggis Khaan","The HU","The Gereg","Favoritas","Playlist","USDPK1900010","4ZQP4RH4dhYVpwTqTqnYrE"
"Wolf Totem (feat. Jacoby Shaddix of Papa Roach)","The HU","The Gereg (Deluxe Edition)","Favoritas","Playlist","USDPK1900170","35UsDRvnFWxVhvo2LtmMtG"
"Yuve Yuve Yu","The HU","The Gereg","Favoritas","Playlist","TCADX1835822","7dH9Qnbb7pwDahy1Vb9ZQa"
"Wolf Totem","The HU","The Gereg","Favoritas","Playlist","TCADY1880557","5hISmTJXBXdOes4htbUhGk"
"Nice to Meet Me","Zack Hemsey","Ronin","Favoritas","Playlist","US5C31300003","232JdROTqhi1MRAUghFZdS"
"See What I've Become","Zack Hemsey","The Way","Favoritas","Playlist","US5C31100009","0eOyvQ2SeejSS0zJmLS4Wq"
"I Was a Teenage Teenager","Green Day","Father of All...","Favoritas","Playlist","USRE11900385","1joLi42twnPqACG3pfcHMM"
"Oh Yeah!","Green Day","Father of All...","Favoritas","Playlist","USRE11900383","1VsFIGQytB26cDHViCLjQi"
"End Of Me","Ashes Remain","What I've Become","Favoritas","Playlist","USM2C1100707","4rBJhbvK48X8aoQbgOD71Y"
"Livin' On A Prayer","Bon Jovi","Slippery When Wet","Favoritas","Playlist","USPR38619998","37ZJ0p5Jm13JPevGcx4SkF"
"Dragula","Rob Zombie","Hellbilly Deluxe","Favoritas","Playlist","USGF19821203","6Nm8h73ycDG2saCnZV8poF"
"My Happy Ending","Avril Lavigne","Under My Skin","Favoritas","Playlist","USAR10400486","6sqNctd7MlJoKDOxPVCAvU"
"Pursuit Of Happiness - Extended Steve Aoki Remix","Kid Cudi","Pursuit Of Happiness [Extended Steve Aoki Remix (Explicit)]","Favoritas","Playlist","USUM70917762","5PX4uS1LqlWEPL69phPVQQ"
"Zombie","Breed 77","Insects","Favoritas","Playlist","GBMJG1920539","5rIIQ92QkbNIrRPo1EuBTH"
"Butterfly - Extreme Mix","Crazy Town","Butterfly","Favoritas","Playlist","USSM10014535","5ZTUyT51jAm5JNirWlJuo5"
"The Heart from Your Hate","Trivium","The Sin and the Sentence","Favoritas","Playlist","NLA321700256","5yDJpu0xh0d1w13gXaE3lS"
"Bank Robbery (Prologue)","Hans Zimmer","The Dark Knight (Collectors Edition) [Original Motion Picture Soundtrack]","Favoritas","Playlist","USWB10807404","2w8OYaXJa43Vnx7BoBF8Xc"
"Imagine the Fire","Hans Zimmer","The Dark Knight Rises (Original Motion Picture Soundtrack)","Favoritas","Playlist","USNLR1200303","5FOfiPfWiv6wP0SWG9fPlZ"
"Maybe Pain Can Save Us","Hans Zimmer","Inferno (Original Motion Picture Soundtrack)","Favoritas","Playlist","US4DG1600551","4TyHtwT3qOkbLarBUtspq9"
"The Equalizer","Harry Gregson-Williams","The Equalizer (Original Motion Picture Soundtrack)","Favoritas","Playlist","US3M51429411","1EW89f5iyD8x0n89N3cE6w"
"Vengeance","Zack Hemsey","The Way","Favoritas","Playlist","US5C31100001","5KH9kPpOZZV2WkJj6WWt1O"
"Fallout 4 Main Theme","Geek Music","Fallout 4 Main Theme","Favoritas","Playlist","QZ5FN1853133","544X3fi6wTKkKNRIazF4ih"
"Faster","Within Temptation","The Unforgiving","Favoritas","Playlist","NLR261000004","28HX0PibeXSL6cfAsvwSgD"
"Time - Alan Walker Remix","Alan Walker","Time (Alan Walker Remix)","Favoritas","Playlist","DEE862000720","5H9S7RaxxSAgY77Mb0CSPz"
"Super Mario Bros 3 Overworld (From ""Super Mario Bros 3"")","FamilyJules","Video Game Guitar Covers, Vol. 3","Favoritas","Playlist","USE831584333","6l6pIVUBARhj5vaJnCGDG1"
"Five Hours","Deorro","Five Hours","Favoritas","Playlist","CH3131340319","6r7FXNO57mlZCBY6PXcZZT"
"I Gotta Feeling - FMIF Remix; Edit","Black Eyed Peas","One More Love","Favoritas","Playlist","USUM70976986","3CN7K4Bh7S2dxyH3tCaOFF"
"Don't Stop (Color on the Walls) - D Berrie Radio Remix","Foster The People","Don't Stop (Color On The Walls) (Remixes)","Favoritas","Playlist","USSM11200408","6x0M179l7MO6uK3ye6mupF"
"Satisfaction - Radio Edit","Benni Binossa","Satisfaction","Favoritas","Playlist","DEON11100001","0jBglViXMGmizTWgC3bafc"
"Song 2 - 2012 Remaster","Blur","Blur (Special Edition)","Favoritas","Playlist","GBAYE1200348","1FTSo4v6BOZH9QxKc3MbVM"
"28 Days Later Main Theme (From ""28 Days Later"")","Geek Music","28 Days Later Main Theme (From ""28 Days Later"")","Favoritas","Playlist","GBWUL1826038","47AsriNLhUcdnMAB9UPFxx"
